6.29499999999999933E-012 6.08239700374531844E-015 5.85696017730337051E-009
1.58099999999999983E-011 3.10112359550561804E-014 1.47097218246067403E-008
3.97199999999999996E-011 1.51747815230961288E-013 3.69538282451123621E-008
9.97599999999999998E-011 7.18476903870162316E-013 9.27913039584269657E-008
2.50599999999999993E-010 3.28714107365792720E-012 2.33156384069662918E-007
6.29399999999999915E-010 1.44694132334581779E-011 5.85696017730337021E-007
1.58099999999999981E-009 6.08926342072409432E-011 1.47097218246067398E-006
3.97199999999999993E-009 2.44132334581772750E-010 3.69594383602247161E-006
4.99999999999999928E-009 3.27715355805243441E-010 4.65246846267977452E-006
9.97599999999999946E-009 8.95755305867665509E-010 9.28474051095505507E-006
1.98999999999999995E-008 2.39263420724094876E-009 1.85246001010112358E-005
3.97200000000000010E-008 6.27965043695380753E-009 3.69650484753370758E-005
7.92399999999999869E-008 1.62546816479400730E-008 7.37730137275280796E-005
1.58099999999999993E-007 4.16729088639201000E-008 1.47209420548314603E-004
1.98999999999999995E-007 5.45443196004993768E-008 1.85358203312359539E-004
3.15499999999999986E-007 1.01685393258426956E-007 2.93801728434269665E-004
4.99999999999999977E-007 1.89700374531835224E-007 4.65695655476966290E-004
6.29399999999999958E-007 2.57740324594257181E-007 5.86257029241572998E-004
7.92400000000000028E-007 3.14357053682896406E-007 7.38291148786516822E-004
9.97599999999999986E-007 4.28214731585518093E-007 9.29596074117977470E-004
1.58099999999999998E-006 7.94007490636704080E-007 1.47321622850561792E-003
2.50599999999999981E-006 1.47066167290886386E-006 2.33605193278651688E-003
3.97200000000000026E-006 2.72284644194756540E-006 3.70323698566853892E-003
4.99999999999999956E-006 3.53433208489388288E-006 4.66312768139325821E-003
6.29399999999999937E-006 4.80774032459425703E-006 5.86818040752809002E-003
7.92399999999999901E-006 6.54182272159800222E-006 7.39413171808988700E-003
9.97599999999999901E-006 8.89513108614232279E-006 9.30718097140449327E-003
1.25599999999999983E-005 1.20973782771535580E-005 1.17251405848314595E-002
1.58099999999999994E-005 1.56242197253433191E-005 1.47602128606179762E-002
